backbone,checkpoint,cpu_percent,cuda_memory_allocated_mb,cuda_memory_reserved_mb,dataset,epoch,event,function,global_step,gpu_memory_total_mb,gpu_memory_used_mb,gpu_utilization_percent,hostname,max_cuda_memory_allocated_mb,max_cuda_memory_reserved_mb,pair_mode,pid,rss_mb,run_id,runtime_log,seconds_since_start,seed,shots,step,timestamp,val_top1
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,520,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,214.37135609400002,,,112,2026-05-10T09:33:36.468676Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,540,23034.0,5576.875,98,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,221.696090056,,,132,2026-05-10T09:33:43.793831Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,560,23034.0,5576.875,98,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,229.00255730700002,,,152,2026-05-10T09:33:51.099862Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,580,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,236.33269142,,,172,2026-05-10T09:33:58.429957Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,600,23034.0,5576.875,100,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,243.662812213,,,192,2026-05-10T09:34:05.760088Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,620,23034.0,5576.875,98,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,250.99234391700003,,,212,2026-05-10T09:34:13.089384Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,640,23034.0,5576.875,97,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,258.365927807,,,232,2026-05-10T09:34:20.463099Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,660,23034.0,5576.875,97,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,265.770892453,,,252,2026-05-10T09:34:27.867642Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,680,23034.0,5576.875,96,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,273.142185774,,,272,2026-05-10T09:34:35.237588Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,700,23034.0,5576.875,98,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,280.403290557,,,292,2026-05-10T09:34:42.501056Z,
