cpu_percent,cuda_memory_allocated_mb,cuda_memory_reserved_mb,epoch,event,function,global_step,gpu_memory_total_mb,gpu_memory_used_mb,gpu_utilization_percent,hostname,max_cuda_memory_allocated_mb,max_cuda_memory_reserved_mb,pid,rss_mb,run_id,runtime_log,seconds_since_start,step,timestamp
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,840,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,583.353456517,56,2026-05-10T09:41:32.986033Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,860,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,595.8717358380001,76,2026-05-10T09:41:45.504364Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,880,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,608.384103048,96,2026-05-10T09:41:58.016802Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,900,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,620.92352281,116,2026-05-10T09:42:10.556033Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,920,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,633.50115305,136,2026-05-10T09:42:23.133722Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,940,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,646.154719664,156,2026-05-10T09:42:35.787162Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,960,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,658.881012876,176,2026-05-10T09:42:48.512984Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,980,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,671.659220117,196,2026-05-10T09:43:01.291729Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1000,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,684.457023724,216,2026-05-10T09:43:14.089698Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1020,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,697.275317736,236,2026-05-10T09:43:26.907349Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1040,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,710.162449878,256,2026-05-10T09:43:39.794902Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,1060,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,723.0876344870001,276,2026-05-10T09:43:52.720146Z
